Scheme Code;ISIN Div Payout/ ISIN Growth;ISIN Div Reinvestment;Scheme Name;Net Asset Value;Date
 
Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
 
Aditya Birla Sun Life Mutual Fund
148627;INF955L01JY4;INF955L01JZ1;Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option;10.2622;01-Mar-2024
 
Canara Robeco Mutual Fund
 
150505;INF760K01KC4;-;Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option;10.9746;01-Mar-2024
150507;INF760K01KE0;INF760K01KD2;Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout;10.4390;01-Mar-2024
150503;INF760K01KF7;-;Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option;10.9251;01-Mar-2024
150504;INF760K01KH3;INF760K01KG5;Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment);10.3906;01-Mar-2024
 
DSP Mutual Fund
 
124175;INF740K01ZW2;-;DSP Banking & PSU Debt Fund - Direct Plan - Growth;22.3131;01-Mar-2024
124178;INF740K01A18;INF740K01A26;DSP Banking & PSU Debt Fund - Direct Plan - IDCW;10.9268;01-Mar-2024
124182;-;INF740KA1OF7;DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest;10.1600;01-Mar-2024
124176;INF740K01ZX0;INF740K01ZY8;DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly;10.2650;01-Mar-2024
124177;INF740K01ZZ5;INF740K01A00;DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ;10.3705;01-Mar-2024
124183;INF740KA1OG5;INF740KA1OH3;DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly;10.1624;01-Mar-2024
124172;INF740K01ZP6;-;DSP Banking & PSU Debt Fund - Regular Plan - Growth;21.6291;01-Mar-2024
124174;INF740K01ZU6;INF740K01ZV4;DSP Banking & PSU Debt Fund - Regular Plan - IDCW;10.9008;01-Mar-2024
124173;-;INF740KA1OI1;DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest;10.1600;01-Mar-2024
124180;INF740K01ZQ4;INF740K01ZR2;DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly;10.2571;01-Mar-2024
124181;INF740K01ZS0;INF740K01ZT8;DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ;10.3642;01-Mar-2024
124179;INF740KA1OJ9;INF740KA1OK7;DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly;10.1623;01-Mar-2024
 
Edelweiss Mutual Fund
 
140286;INF843K01FC8;-;Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option;22.8171;01-Mar-2024
140288;INF843K01FD6;INF843K01FE4;Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option;18.2693;01-Mar-2024
140291;INF843K01FG9;-;Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option;14.494;01-Mar-2024
140293;INF843K01FI5;INF843K01FH7;Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option;10.9296;01-Mar-2024
140290;INF843K01FF1;-;Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option;10.5614;01-Mar-2024
140283;INF843K01FK1;-;Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option;22.1108;01-Mar-2024
140284;INF843K01FL9;INF843K01FM7;Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option;17.5884;01-Mar-2024
140294;INF843K01FO3;-;Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option;14.1124;01-Mar-2024
140292;INF843K01FQ8;INF843K01FP0;Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option;11.1741;01-Mar-2024
140289;INF843K01FN5;-;Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option;10.1556;01-Mar-2024
 
Franklin Templeton Mutual Fund
 
129008;INF090I01KR8;-;Franklin India Banking & PSU Debt Fund - Direct - Growth;21.0305;01-Mar-2024
129006;INF090I01KO5;-;Franklin India Banking & PSU Debt Fund - Growth;20.2199;01-Mar-2024
129009;INF090I01KS6;INF090I01KT4;Franklin India Banking and PSU Debt Fund - Direct - IDCW ;11.1127;01-Mar-2024
129007;INF090I01KP2;INF090I01KQ0;Franklin India Banking and PSU Debt Fund - IDCW ;10.5364;01-Mar-2024
 
HDFC Mutual Fund
 
128628;INF179KA1JC4;-;HDFC Banking and PSU Debt Fund - Growth Option;20.6955;01-Mar-2024
128629;INF179KA1IZ7;-;HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan;21.4393;01-Mar-2024
128627;INF179KA1JD2;INF179KA1JE0;HDFC Banking and PSU Debt Fund - IDCW Option;10.1468;01-Mar-2024
128626;INF179KA1JA8;INF179KA1JB6;HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan;10.0371;01-Mar-2024
 
HSBC Mutual Fund
 
151108;-;INF917K01HL7;HSBC Banking and PSU Debt Fund - Direct Daily IDCW;11.1907;01-Mar-2024
151107;INF917K01HH5;-;HSBC Banking and PSU Debt Fund - Direct Growth;22.9396;01-Mar-2024
151106;INF917K01HJ1;INF917K01HI3;HSBC Banking and PSU Debt Fund - Direct Monthly IDCW;11.2193;01-Mar-2024
151109;-;INF917K01HK9;HSBC Banking and PSU Debt Fund - Direct Weekly IDCW;10.3490;01-Mar-2024
151102;-;INF677K01AF4;HSBC Banking and PSU Debt Fund - Regular Daily IDCW;11.1160;01-Mar-2024
151104;INF677K01AE7;-;HSBC Banking and PSU Debt Fund - Regular Growth;21.8884;01-Mar-2024
151105;INF677K01AI8;INF677K01AJ6;HSBC Banking and PSU Debt Fund - Regular Monthly IDCW;10.6180;01-Mar-2024
151103;-;INF917K01HM5;HSBC Banking and PSU Debt Fund - Regular Weekly IDCW;10.3217;01-Mar-2024
 
ICICI Prudential Mutual Fund
 
112343;INF109K01WS5;INF109K01RV9;ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW;10.0549;16-Sep-2022
112344;INF109K01WR7;INF109K01RU1;ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW;10.2427;16-Sep-2022
130897;INF109KA1B57;-;ICICI Prudential Banking and PSU Debt Fund - Bonus;15.8889;24-Apr-2020
120257;INF109K01Z89;INF109K01Z97;ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW;10.2538;16-Sep-2022
120256;INF109K010A6;-;ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth;30.5656;01-Mar-2024
120258;INF109K011A4;INF109K012A2;ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW;12.7847;01-Mar-2024
120255;INF109K013A0;INF109K014A8;ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW;10.3708;16-Sep-2022
130950;INF109KA1B40;-;ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus;13.8665;10-Apr-2018
131148;INF109KA1M96;INF109KA1M88;ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option;13.1098;16-Sep-2022
112342;INF109K01RT3;-;ICICI Prudential Banking and PSU Debt Fund - Growth;29.4539;01-Mar-2024
116174;INF109K01YE1;INF109K01YD3;ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW;10.8344;01-Mar-2024
131147;INF109KA1M70;INF109KA1M62;ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option;12.9261;16-Sep-2022
113247;INF109K01WW7;INF109K01JM5;ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend;10.0122;24-Apr-2020
113242;INF109K01II5;-;ICICI Prudential Banking and PSU Debt Fund Retail Growth;21.631;24-Apr-2020
113243;INF109K01WV9;INF109K01IJ3;ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend;10.3305;20-Aug-2015
 
Invesco Mutual Fund
 
118234;-;INF205K01JX8;Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment);1011.1328;01-Mar-2024
120444;INF205K01KT4;-;Invesco India Banking and PSU Fund - Direct Plan -  Growth Option;2171.088;01-Mar-2024
120443;-;INF205K01KS6;Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment);1032.0614;01-Mar-2024
120445;INF205K01KU2;INF205K01KV0;Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment);1010.3803;01-Mar-2024
118232;INF205K01JV2;-;Invesco India Banking and PSU Fund - Growth Option;2038.0753;01-Mar-2024
118233;INF205K01JW0;INF205K01JY6;Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment);1030.7677;01-Mar-2024
 
ITI Mutual Fund
 
148534;INF00XX01861;-;ITI Banking & PSU Debt Fund - Direct Plan - Growth Option;12.0390;01-Mar-2024
148536;INF00XX01879;INF00XX01887;ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option;12.0390;01-Mar-2024
148535;INF00XX01838;-;ITI Banking & PSU Debt Fund - Regular Plan - Growth Option;11.8190;01-Mar-2024
148533;INF00XX01846;INF00XX01853;ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option;11.8190;01-Mar-2024
 
Kotak Mahindra Mutual Fund
 
123688;INF174K01FS4;INF174K01FR6;Kotak Banking and PSU Debt - Annual Dividend;16.1842;15-Sep-2017
123858;-;INF174K01SD9;Kotak Banking and PSU Debt - Daily Dividend Reinvestment;10.188;15-Sep-2017
123859;INF174K01SE7;-;Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment;10.2604;15-Sep-2017
123690;INF174K01FO3;-;Kotak Banking and PSU Debt - Growth;58.7768;01-Mar-2024
123691;INF174K01FQ8;INF174K01FP0;Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option;11.0428;01-Mar-2024
123689;INF174K01KI5;INF174K01KJ3;Kotak Banking and PSU Debt Direct - Annual Dividend;17.1427;15-Sep-2017
123693;INF174K01KH7;-;Kotak Banking and PSU Debt Direct - Growth;60.9366;01-Mar-2024
123692;INF174K01KK1;-;Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option;10.2925;01-Mar-2024
 
LIC Mutual Fund
 
120337;INF767K01GJ2;INF767K01GM6;LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW;13.5634;01-Mar-2024
120338;INF767K01GI4;-;LIC MF Banking & PSU Debt Fund-Direct Plan-Growth;33.5238;01-Mar-2024
120339;INF767K01GK0;INF767K01GN4;LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW;12.6255;01-Mar-2024
120336;INF767K01GL8;INF767K01GO2;LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW;10.0567;01-Mar-2024
105822;INF767K01519;INF767K01527;LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW;10.8883;01-Mar-2024
105823;INF767K01535;-;LIC MF Banking & PSU Debt Fund-Regular Plan-Growth;31.2924;01-Mar-2024
105856;INF767K01543;INF767K01550;LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW;11.7115;01-Mar-2024
105857;INF767K01568;INF767K01576;LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW;10.0542;01-Mar-2024
 
Mirae Asset Mutual Fund
 
148419;INF769K01FY9;-;Mirae Asset Banking and PSU Fund - Direct Plan - Growth;11.8643;01-Mar-2024
148417;INF769K01FX1;INF769K01FZ6;Mirae Asset Banking and PSU Fund - Direct Plan - IDCW;11.8620;01-Mar-2024
148416;INF769K01FV5;-;Mirae Asset Banking and PSU Fund - Regular Plan - Growth;11.6768;01-Mar-2024
148418;INF769K01FU7;INF769K01FW3;Mirae Asset Banking and PSU Fund - Regular plan - IDCW;11.6777;01-Mar-2024
 
Nippon India Mutual Fund
 
134552;INF204KA1U61;-;Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option;19.2723;01-Mar-2024
134547;INF204KA1U53;-;Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option;19.2720;01-Mar-2024
134546;INF204KA1T64;-;Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option;12.3452;02-Feb-2018
134545;INF204KA1T56;-;Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option;18.6672;01-Mar-2024
134555;INF204KA1U79;INF204KA1U87;NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option;19.2720;01-Mar-2024
134550;INF204KA1V37;INF204KA1V45;NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option;10.6819;01-Mar-2024
134556;INF204KA1U95;INF204KA1V03;NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option;10.8737;01-Mar-2024
134554;INF204KA1V11;INF204KA1V29;NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option;10.2830;01-Mar-2024
134548;INF204KA1T72;INF204KA1T80;NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option;18.6672;01-Mar-2024
134549;INF204KA1U38;INF204KA1U46;NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option;10.6165;01-Mar-2024
134551;INF204KA1T98;INF204KA1U04;NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option;10.8145;01-Mar-2024
134553;INF204KA1U12;INF204KA1U20;NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option;10.2836;01-Mar-2024
 
SBI Mutual Fund
 
125502;-;INF200K01V16;SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW);1305.1581;01-Mar-2024
125503;INF200K01V08;-;SBI BANKING & PSU FUND - Direct Plan - Growth;2963.0843;01-Mar-2024
125505;INF200K01V40;INF200K01V57;SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW);1240.9479;01-Mar-2024
125504;INF200K01V32;INF200K01V24;SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW);1302.2578;01-Mar-2024
125498;INF200K01U41;-;SBI BANKING & PSU FUND - Regular Paln - Growth;2804.796;01-Mar-2024
125499;-;INF200K01U58;SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW);1279.6254;01-Mar-2024
125501;INF200K01U82;INF200K01U90;SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW);1175.2078;01-Mar-2024
125500;INF200K01U74;INF200K01U66;SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW);1279.3535;01-Mar-2024
 
Sundaram Mutual Fund
 
134363;INF903J017I5;-;Sundaram Banking & PSU Debt Fund - Direct Growth;11.7065;17-Mar-2017
134370;INF903J012J4;INF903J013J2;Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend;11.4008;17-Mar-2017
134369;INF903J019I1;INF903J014J0;Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend;10.6356;31-Mar-2016
134355;INF903J016I7;-;Sundaram Banking & PSU Debt Fund - Regular Annual Bonus;11.6319;17-Feb-2017
134356;INF903J016H9;-;Sundaram Banking & PSU Debt Fund - Regular Growth;11.6493;17-Mar-2017
134359;INF903J018H5;INF903J012I6;Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend;11.1411;17-Mar-2017
134361;INF903J014I2;-;Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus;11.1681;16-Aug-2016
134360;INF903J017H7;INF903J011I8;Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend;10.1418;17-Mar-2017
134362;INF903J019H3;INF903J013I4;Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend;11.0236;17-Mar-2017
119629;INF903J01RI4;-;Sundaram Banking and PSU Debt Fund Direct Plan - Bonus;19.5644;01-Mar-2024
119627;-;INF903J01PC1;Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW);10.2300;01-Mar-2024
119625;INF903J01PA5;-;Sundaram Banking and PSU Debt Fund Direct Plan - Growth;39.1078;01-Mar-2024
119626;INF903J01PB3;INF903J01PE7;Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW);11.5483;01-Mar-2024
118326;INF903J01LY4;-;Sundaram Banking and PSU Debt Fund Regular Plan - Bonus;19.4795;01-Mar-2024
100782;-;INF903J01IP8;Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW);10.3550;01-Mar-2024
100784;INF903J01IN3;-;Sundaram Banking and PSU Debt Fund Regular Plan - Growth;38.6290;01-Mar-2024
100793;INF903J01IO1;INF903J01IR4;Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW);11.6007;01-Mar-2024
100783;-;INF903J01IQ6;Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW);12.1125;01-Mar-2024
100781;INF903J01IK9;-;Sundaram Banking and PSU Debt Fund Retail Plan - Growth;34.8129;01-Mar-2024
100780;INF903J01IL7;INF903J01IM5;Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW);11.5054;01-Mar-2024
134358;-;INF903J010I0;SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment;11.6582;17-Mar-2017
 
Tata Mutual Fund
 
147637;INF277K016X1;-;Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option ;13.2010;01-Mar-2024
147638;-;INF277K014X6;Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ;13.2010;01-Mar-2024
147634;INF277K013X8;-;Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ;12.9160;01-Mar-2024
147633;-;INF277K012X0;Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ;12.9160;01-Mar-2024
147636;INF277K015X3;-;Tata Banking & PSU Debt Fund-Direct Plan-Growth;13.2010;01-Mar-2024
147635;INF277K011X2;-;Tata Banking & PSU Debt Fund-Regular Plan-Growth;12.9160;01-Mar-2024
 
Trust Mutual Fund
 
148656;INF0GCD01107;-;TRUSTMF BANKING & PSU FUND - DIRECT GROWTH;1162.1485;01-Mar-2024
148655;INF0GCD01016;-;TRUSTMF BANKING & PSU FUND - REGULAR GROWTH;1144.4098;01-Mar-2024
148672;INF0GCD01180;INF0GCD01172;TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION;1088.2498;01-Mar-2024
148678;-;INF0GCD01115;TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1165.7213;01-Mar-2024
148681;INF0GCD01149;INF0GCD01131;TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION;1060.6745;01-Mar-2024
148670;INF0GCD01164;INF0GCD01156;TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1084.3225;01-Mar-2024
148675;-;INF0GCD01123;TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1049.9034;01-Mar-2024
148669;INF0GCD01099;INF0GCD01081;TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1071.0509;01-Mar-2024
148667;-;INF0GCD01024;TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1136.4651;01-Mar-2024
148674;INF0GCD01057;INF0GCD01040;TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1049.5065;01-Mar-2024
148668;INF0GCD01073;INF0GCD01065;TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1068.4374;01-Mar-2024
148679;-;INF0GCD01032;TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1040.8329;01-Mar-2024
 
UTI Mutual Fund
 
140135;INF789FA1V03;INF789FA1V11;UTI Banking & PSU Fund - Direct Plan - Annual IDCW;12.7652;01-Mar-2024
133972;INF789FA1V29;INF789FA1V37;UTI Banking & PSU Fund - Direct Plan - Flexi IDCW;17.25;01-Mar-2024
126940;INF789F015Z6;-;UTI Banking & PSU Fund - Direct Plan - Growth Option;20.018;01-Mar-2024
141375;INF789FA1U87;INF789FA1U95;UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW;13.2834;01-Mar-2024
134026;INF789FC1HE1;INF789FC1HF8;UTI Banking & PSU Fund - Direct Plan - Monthly IDCW;12.8433;01-Mar-2024
126942;INF789F016Z4;INF789F017Z2;UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW;14.8991;01-Mar-2024
